sample_set	sample_id	flow_cell	flow_cell_type	path
200087	200087	m84046_230708_200537_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200087/m84046_230708_200537_s2.ccs.filtered.fastq.gz
200087	200087	m84046_230708_203642_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200087/m84046_230708_203642_s3.ccs.filtered.fastq.gz
NA12885	NA12885	m84046_230526_190552_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12885/m84046_230526_190552_s2.ccs.filtered.fastq.gz
NA12885	NA12885	m84046_230522_231536_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12885/m84046_230522_231536_s1.ccs.filtered.fastq.gz
NA12885	NA12885	m84039_230320_220725_s4	revio_50	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12885/m84039_230320_220725_s4.ccs.filtered.fastq.gz
NA12885	NA12885	m84046_230508_183534_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12885/m84046_230508_183534_s1.ccs.filtered.fastq.gz
NA12885	NA12885	m84046_230512_214646_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12885/m84046_230512_214646_s1.ccs.filtered.fastq.gz
200086	200086	m84046_230703_212031_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200086/m84046_230703_212031_s1.ccs.filtered.fastq.gz
200086	200086	m84046_230701_234143_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200086/m84046_230701_234143_s3.ccs.filtered.fastq.gz
200086	200086	m84046_230703_215053_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200086/m84046_230703_215053_s2.ccs.filtered.fastq.gz
200086	200086	m84046_230708_200537_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200086/m84046_230708_200537_s2.ccs.filtered.fastq.gz
200086	200086	m84046_230708_203642_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200086/m84046_230708_203642_s3.ccs.filtered.fastq.gz
NA12886	NA12886	m84046_230512_221707_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12886/m84046_230512_221707_s2.ccs.filtered.fastq.gz
NA12886	NA12886	m84039_230305_012045_s2	revio_50	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12886/m84039_230305_012045_s2.ccs.filtered.fastq.gz
200085	200085	m84046_230703_212031_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200085/m84046_230703_212031_s1.ccs.filtered.fastq.gz
200085	200085	m84046_230701_234143_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200085/m84046_230701_234143_s3.ccs.filtered.fastq.gz
